@relation 'activity_recognition_dataset_modifier-weka.filters.unsupervised.attribute.Remove-R1-40,43-50,52,54-56,58-102,104-234,236-366,369-558,560-562'

@attribute tGravityAcc-mean()-X numeric
@attribute tGravityAcc-mean()-Y numeric
@attribute tGravityAcc-max()-Y numeric
@attribute tGravityAcc-min()-X numeric
@attribute tGravityAcc-energy()-X numeric
@attribute tBodyAccJerk-entropy()-X numeric
@attribute tBodyAccJerkMag-entropy() numeric
@attribute fBodyAccJerk-entropy()-X numeric
@attribute fBodyAccJerk-entropy()-Y numeric
@attribute angle(X-gravityMean) numeric
@attribute activity {STANDING,SITTING,LAYING,WALKING,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS}

@data
0.963396,-0.14084,-0.161265,0.977436,0.899469,-0.819949,-0.863415,-1,-1,-0.841247,STANDING
0.966561,-0.141551,-0.161343,0.98452,0.907829,-0.875096,-0.819928,-1,-1,-0.844788,STANDING
0.966878,-0.14201,-0.163711,0.98677,0.908668,-0.753629,-0.794884,-1,-1,-0.848933,STANDING
0.967615,-0.143976,-0.163711,0.986821,0.910621,-0.820804,-0.792321,-1,-1,-0.848649,STANDING
0.968224,-0.14875,-0.166786,0.987434,0.912235,-0.850744,-0.850026,-1,-1,-0.847865,STANDING
0.967948,-0.14821,-0.16697,0.987722,0.911503,-0.778718,-0.871303,-1,-1,-0.849632,STANDING
0.967929,-0.144282,-0.165571,0.987722,0.911453,-0.787925,-0.795108,-1,-1,-0.85215,STANDING
0.968491,-0.146705,-0.165571,0.987926,0.912943,-0.807351,-0.830863,-1,-1,-0.851017,STANDING
0.968481,-0.154374,-0.167881,0.987754,0.912915,-0.875096,-0.85054,-1,-1,-0.847971,STANDING
0.968418,-0.156302,-0.175964,0.987754,0.912748,-0.753959,-0.704575,-1,-0.93912,-0.848294,STANDING
0.969203,-0.152361,-0.172486,0.987826,0.914829,-0.753959,-0.720537,-1,-1,-0.851562,STANDING
0.969253,-0.150064,-0.172486,0.988613,0.914963,-0.930676,-0.87366,-1,-1,-0.852723,STANDING
0.968996,-0.152362,-0.172606,0.988613,0.914281,-0.930676,-0.910033,-1,-1,-0.850654,STANDING
0.969044,-0.154141,-0.175514,0.9889,0.914407,-0.875096,-0.85092,-1,-1,-0.849773,STANDING
0.944895,-0.292623,-0.277754,0.946749,0.850958,-0.739422,-0.790687,-1,-1,-0.730937,STANDING
0.952013,-0.263117,-0.277754,0.968635,0.86951,-0.850744,-0.912225,-1,-1,-0.761101,STANDING
0.952724,-0.265091,-0.280629,0.972776,0.871372,-0.839274,-0.989493,-1,-1,-0.759172,STANDING
0.953064,-0.264718,-0.283033,0.97297,0.872263,-0.807351,-0.942965,-1,-1,-0.759363,STANDING
0.953606,-0.263058,-0.283008,0.973258,0.873684,-0.828235,-0.959299,-1,-1,-0.761052,STANDING
0.953595,-0.26349,-0.283008,0.973364,0.873655,-0.862673,-0.996293,-1,-1,-0.76062,STANDING
0.953136,-0.263437,-0.28187,0.973188,0.87245,-0.839274,-0.926466,-1,-1,-0.760528,STANDING
0.953183,-0.261896,-0.281498,0.973188,0.872576,-0.850744,-0.874907,-1,-1,-0.762023,STANDING
0.953093,-0.262459,-0.281498,0.972692,0.872339,-0.862673,-0.834382,-1,-1,-0.761509,STANDING
0.952732,-0.265007,-0.282361,0.97264,0.871391,-0.862673,-0.845492,-1,-1,-0.75896,STANDING
0.953219,-0.265043,-0.281555,0.97264,0.872669,-0.839274,-0.883246,-1,-1,-0.758977,STANDING
0.954194,-0.261943,-0.280346,0.973845,0.875227,-0.828235,-0.87366,-1,-1,-0.762197,STANDING
