@relation 'activity_recognition_dataset_modifier-weka.filters.unsupervised.attribute.Remove-R1-9,11-40,43-49,52,55-56,58-102,106-234,236-260,262-287,290-366,370-510,512-523,525-558,560-562'

@attribute tBodyAcc-max()-X numeric
@attribute tGravityAcc-mean()-X numeric
@attribute tGravityAcc-mean()-Y numeric
@attribute tGravityAcc-max()-X numeric
@attribute tGravityAcc-max()-Y numeric
@attribute tGravityAcc-min()-X numeric
@attribute tGravityAcc-min()-Y numeric
@attribute tGravityAcc-energy()-X numeric
@attribute tBodyAccJerk-entropy()-X numeric
@attribute tBodyAccJerk-entropy()-Y numeric
@attribute tBodyAccJerk-entropy()-Z numeric
@attribute tBodyAccJerkMag-entropy() numeric
@attribute tBodyGyroJerkMag-entropy() numeric
@attribute fBodyAcc-entropy()-X numeric
@attribute fBodyAcc-entropy()-Y numeric
@attribute fBodyAccJerk-entropy()-X numeric
@attribute fBodyAccJerk-entropy()-Y numeric
@attribute fBodyAccJerk-entropy()-Z numeric
@attribute fBodyAccMag-entropy() numeric
@attribute fBodyBodyAccJerkMag-entropy() numeric
@attribute angle(X-gravityMean) numeric
@attribute activity {STANDING,SITTING,LAYING,WALKING,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS}

@data
-0.934724,0.963396,-0.14084,0.892055,-0.161265,0.977436,-0.123213,0.899469,-0.819949,-0.793046,-0.888853,-0.863415,-0.619768,-0.946357,-0.904748,-1,-1,-1,-0.646376,-1,-0.841247,STANDING
-0.943068,0.966561,-0.141551,0.89206,-0.161343,0.98452,-0.114893,0.907829,-0.875096,-0.655362,-0.767381,-0.819928,-0.730722,-1,-0.904748,-1,-1,-1,-0.816674,-1,-0.844788,STANDING
-0.938692,0.966878,-0.14201,0.892401,-0.163711,0.98677,-0.114893,0.908668,-0.753629,-0.673274,-0.747107,-0.794884,-0.662914,-1,-0.815786,-1,-1,-1,-0.907014,-1,-0.848933,STANDING
-0.938692,0.967615,-0.143976,0.893817,-0.163711,0.986821,-0.121336,0.910621,-0.820804,-0.754968,-0.825279,-0.792321,-0.683016,-1,-0.870398,-1,-1,-1,-0.907014,-1,-0.848649,STANDING
-0.942469,0.968224,-0.14875,0.893817,-0.166786,0.987434,-0.121834,0.912235,-0.850744,-0.746258,-0.79696,-0.850026,-0.720171,-1,-0.870398,-1,-1,-1,-0.907014,-1,-0.847865,STANDING
-0.942469,0.967948,-0.14821,0.893683,-0.16697,0.987722,-0.121834,0.911503,-0.778718,-0.754968,-0.790886,-0.871303,-0.751092,-1,-0.94487,-1,-1,-1,-1,-1,-0.849632,STANDING
-0.940987,0.967929,-0.144282,0.89337,-0.165571,0.987722,-0.120092,0.911453,-0.787925,-0.726266,-0.748931,-0.795108,-0.681257,-1,-0.757953,-1,-1,-1,-0.843671,-1,-0.85215,STANDING
-0.940987,0.968491,-0.146705,0.894205,-0.165571,0.987926,-0.128559,0.912943,-0.807351,-0.67155,-0.777946,-0.830863,-0.645916,-1,-0.815786,-1,-1,-1,-0.853531,-1,-0.851017,STANDING
-0.940598,0.968481,-0.154374,0.894205,-0.167881,0.987754,-0.129764,0.912915,-0.875096,-0.660921,-0.868057,-0.85054,-0.687016,-1,-0.849961,-1,-1,-1,-0.907014,-1,-0.847971,STANDING
-0.940028,0.968418,-0.156302,0.894778,-0.175964,0.987754,-0.129764,0.912748,-0.753959,-0.529135,-0.767208,-0.704575,-0.466204,-1,-0.786886,-1,-0.93912,-1,-0.907014,-1,-0.848294,STANDING
-0.940028,0.969203,-0.152361,0.894941,-0.172486,0.987826,-0.126923,0.914829,-0.753959,-0.576344,-0.661492,-0.720537,-0.471002,-1,-0.812205,-1,-1,-1,-0.907014,-1,-0.851562,STANDING
-0.943906,0.969253,-0.150064,0.894941,-0.172486,0.988613,-0.123409,0.914963,-0.930676,-0.806636,-0.734905,-0.87366,-0.810858,-1,-0.904748,-1,-1,-1,-1,-1,-0.852723,STANDING
-0.943906,0.968996,-0.152362,0.894368,-0.172606,0.988613,-0.126467,0.914281,-0.930676,-0.797235,-0.78379,-0.910033,-0.902711,-1,-0.94487,-1,-1,-1,-1,-1,-0.850654,STANDING
-0.943323,0.969044,-0.154141,0.894368,-0.175514,0.9889,-0.126467,0.914407,-0.875096,-0.826456,-0.790152,-0.85092,-0.89471,-1,-0.94487,-1,-1,-1,-1,-1,-0.849773,STANDING
-0.925977,0.944895,-0.292623,0.877588,-0.277754,0.946749,-0.319537,0.850958,-0.739422,-0.900225,-0.804221,-0.790687,-0.466857,-0.907316,-0.535462,-1,-1,-1,-0.538299,-1,-0.730937,STANDING
-0.941716,0.952013,-0.263117,0.87816,-0.277754,0.968635,-0.24814,0.86951,-0.850744,-0.982792,-0.798327,-0.912225,-0.809078,-1,-0.870398,-1,-1,-1,-0.873482,-1,-0.761101,STANDING
-0.941716,0.952724,-0.265091,0.87816,-0.280629,0.972776,-0.235908,0.871372,-0.839274,-0.858956,-0.824719,-0.989493,-0.831077,-1,-0.904748,-1,-1,-1,-0.946182,-1,-0.759172,STANDING
-0.942076,0.953064,-0.264718,0.87888,-0.283033,0.97297,-0.235908,0.872263,-0.807351,-0.836903,-0.8582,-0.942965,-0.794852,-1,-0.904748,-1,-1,-1,-0.946182,-1,-0.759363,STANDING
-0.94487,0.953606,-0.263058,0.879087,-0.283008,0.973258,-0.234274,0.873684,-0.828235,-0.870602,-0.817839,-0.959299,-0.848782,-1,-1,-1,-1,-1,-1,-1,-0.761052,STANDING
-0.945662,0.953595,-0.26349,0.879087,-0.283008,0.973364,-0.233993,0.873655,-0.862673,-0.858956,-0.820294,-0.996293,-0.972731,-1,-0.94487,-1,-1,-1,-1,-1,-0.76062,STANDING
-0.941472,0.953136,-0.263437,0.878771,-0.28187,0.973188,-0.233993,0.87245,-0.839274,-0.870602,-0.760353,-0.926466,-0.923169,-1,-1,-1,-1,-1,-1,-1,-0.760528,STANDING
-0.941472,0.953183,-0.261896,0.878617,-0.281498,0.973188,-0.233513,0.872576,-0.850744,-0.767836,-0.793959,-0.874907,-0.882442,-1,-0.94487,-1,-1,-1,-1,-1,-0.762023,STANDING
-0.944567,0.953093,-0.262459,0.878617,-0.281498,0.972692,-0.234932,0.872339,-0.862673,-0.704919,-0.813859,-0.834382,-0.878087,-1,-1,-1,-1,-1,-1,-1,-0.761509,STANDING
-0.943675,0.952732,-0.265007,0.878586,-0.282361,0.97264,-0.235806,0.871391,-0.862673,-0.71308,-0.74896,-0.845492,-0.895224,-1,-0.904748,-1,-1,-1,-1,-1,-0.75896,STANDING
-0.942559,0.953219,-0.265043,0.879146,-0.281555,0.97264,-0.235806,0.872669,-0.839274,-0.732818,-0.730582,-0.883246,-0.921435,-1,-0.94487,-1,-1,-1,-1,-1,-0.758977,STANDING
-0.942559,0.954194,-0.261943,0.879981,-0.280346,0.973845,-0.235405,0.875227,-0.828235,-0.762751,-0.760895,-0.87366,-0.859312,-1,-0.94487,-1,-1,-1,-1,-1,-0.762197,STANDING
-0.94289,0.954589,-0.260499,0.879981,-0.280346,0.974369,-0.230649,0.876264,-0.875096,-0.762751,-0.803011,-0.83462,-0.802523,-1,-1,-1,-1,-1,-1,-1,-0.763702,STANDING
-0.931896,0.874099,0.042479,0.860533,0.151581,0.849573,-0.197543,0.672448,-0.50173,-0.872838,-0.953181,-0.575604,-0.530514,-0.411235,-0.216966,-1,-0.93912,-0.942216,-0.103363,-0.940965,-0.667085,SITTING
