@relation 'activity_recognition_dataset_modifier-weka.filters.unsupervised.attribute.Remove-R1-3,5-6,8-9,11-16,18-41,43-53,55-265,267-268,270-271,273-274,276-281,283-302,304-310,312-314,316-381,383-389,391-503,506-508,510-559,561-562'

@attribute tBodyAcc-std()-X numeric
@attribute tBodyAcc-mad()-X numeric
@attribute tBodyAcc-max()-X numeric
@attribute tBodyAcc-energy()-X numeric
@attribute tGravityAcc-mean()-Y numeric
@attribute tGravityAcc-min()-Y numeric
@attribute fBodyAcc-mean()-X numeric
@attribute fBodyAcc-std()-X numeric
@attribute fBodyAcc-mad()-X numeric
@attribute fBodyAcc-max()-X numeric
@attribute fBodyAcc-energy()-X numeric
@attribute fBodyAcc-bandsEnergy()-A-18 numeric
@attribute fBodyAcc-bandsEnergy()-I-1_16 numeric
@attribute fBodyAcc-bandsEnergy()-M-1_24 numeric
@attribute fBodyAccJerk-bandsEnergy()-A-1_8 numeric
@attribute fBodyAccJerk-bandsEnergy()-I-1_16 numeric
@attribute fBodyAccMag-std() numeric
@attribute fBodyAccMag-mad() numeric
@attribute fBodyAccMag-energy() numeric
@attribute angle(Y-gravityMean) numeric
@attribute activity {STANDING,SITTING,LAYING,WALKING,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS}

@data
-0.995279,-0.995112,-0.934724,-0.999945,-0.14084,-0.123213,-0.994783,-0.995422,-0.996889,-0.993756,-0.999968,-0.999963,-0.999969,-0.999971,-0.999986,-0.999982,-0.956134,-0.94887,-0.998285,0.179941,STANDING
-0.998245,-0.998807,-0.943068,-0.999991,-0.141551,-0.114893,-0.997451,-0.99868,-0.99789,-0.999372,-0.999991,-0.999996,-0.999994,-0.999992,-0.999996,-0.999987,-0.975866,-0.975777,-0.999472,0.180289,STANDING
-0.99538,-0.99652,-0.938692,-0.999969,-0.14201,-0.114893,-0.993594,-0.996313,-0.994097,-0.998158,-0.999969,-0.999989,-0.999983,-0.999972,-0.999994,-0.999963,-0.989015,-0.985594,-0.999807,0.180637,STANDING
-0.996091,-0.997099,-0.938692,-0.999976,-0.143976,-0.121336,-0.995491,-0.996312,-0.994547,-0.997404,-0.999975,-0.999989,-0.999986,-0.999977,-0.999998,-0.999978,-0.986742,-0.983524,-0.99977,0.181935,STANDING
-0.998139,-0.998321,-0.942469,-0.999991,-0.14875,-0.121834,-0.997286,-0.998606,-0.997725,-0.999277,-0.99999,-0.999994,-0.999993,-0.999991,-0.999995,-0.999988,-0.990063,-0.992324,-0.999873,0.185151,STANDING
-0.997335,-0.997627,-0.942469,-0.999985,-0.14821,-0.121834,-0.996657,-0.997644,-0.996605,-0.998598,-0.999985,-0.99999,-0.99999,-0.999987,-0.999988,-0.999987,-0.995283,-0.993851,-0.999939,0.184823,STANDING
-0.996921,-0.997003,-0.940987,-0.999982,-0.144282,-0.120092,-0.995849,-0.997461,-0.997508,-0.996957,-0.999982,-0.999991,-0.999988,-0.999984,-0.999988,-0.999983,-0.984773,-0.98249,-0.999676,0.18217,STANDING
-0.996559,-0.996485,-0.940987,-0.99998,-0.146705,-0.128559,-0.995193,-0.997279,-0.996037,-0.998347,-0.999979,-0.999985,-0.999981,-0.99998,-0.999992,-0.99998,-0.97512,-0.976829,-0.99947,0.183779,STANDING
-0.997328,-0.997596,-0.940598,-0.999985,-0.154374,-0.129764,-0.9971,-0.997368,-0.997363,-0.997174,-0.999985,-0.999985,-0.999986,-0.999986,-0.999997,-0.999987,-0.976683,-0.979264,-0.99952,0.188982,STANDING
-0.994803,-0.995405,-0.940028,-0.999963,-0.156302,-0.129764,-0.993519,-0.995388,-0.993346,-0.996913,-0.999964,-0.999983,-0.999971,-0.999969,-0.99998,-0.999953,-0.989023,-0.987825,-0.999777,0.19031,STANDING
-0.994815,-0.995509,-0.940028,-0.999965,-0.152361,-0.126923,-0.992886,-0.995811,-0.995049,-0.996466,-0.999964,-0.999979,-0.999971,-0.99997,-0.999976,-0.999955,-0.987189,-0.986765,-0.999758,0.187609,STANDING
-0.998246,-0.998251,-0.943906,-0.999991,-0.150064,-0.123409,-0.998239,-0.998181,-0.997787,-0.998099,-0.999991,-0.99999,-0.99999,-0.999991,-0.999998,-0.999989,-0.996714,-0.994719,-0.999953,0.18605,STANDING
-0.999135,-0.999077,-0.943906,-0.999996,-0.152362,-0.126467,-0.999377,-0.99895,-0.999194,-0.998869,-0.999996,-0.999993,-0.999995,-0.999996,-0.999999,-0.999993,-0.996788,-0.996236,-0.999959,0.187611,STANDING
