@relation 'activity_recognition_dataset_modifier_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1-weka.filters.unsupervised.attribute.Remove-R21-117'

@attribute -0.059fBodyAcc-sma()-0.059fBodyAccJerk-sma()-0.059tBodyAccJerk-sma()-0.059fBodyGyro-sma()-0.058tBodyAccJerkMag-sma()... numeric
@attribute -0.122fBodyAcc-meanFreq()-Z-0.12tBodyGyroMag-arCoeff()1-0.118tGravityAccMag-arCoeff()1-0.118tBodyAccMag-arCoeff()1-0.118fBodyAccMag-meanFreq()... numeric
@attribute 0.104fBodyGyro-bandsEnergy()-P-9_16+0.103tGravityAcc-energy()-Z+0.102tGravityAcc-entropy()-Y-0.101tGravityAcc-arCoeff()-X1-0.101tGravityAcc-energy()-X... numeric
@attribute 0.148tGravityAcc-max()-Z+0.144tGravityAcc-mean()-Z-0.143angle(Z-gravityMean)+0.139tGravityAcc-min()-Z-0.133tGravityAcc-min()-X... numeric
@attribute -0.168angle(X-gravityMean)+0.166tGravityAcc-energy()-X+0.163tGravityAcc-max()-X+0.161tGravityAcc-mean()-X+0.159tGravityAcc-min()-X... numeric
@attribute -0.158fBodyBodyGyroJerkMag-skewness()-0.139fBodyBodyGyroJerkMag-kurtosis()+0.131fBodyGyro-bandsEnergy()-AC-1_8-0.125tBodyGyroMag-entropy()+0.124fBodyGyro-bandsEnergy()-AK-1_16... numeric
@attribute 0.146fBodyGyro-meanFreq()-Y+0.128tBodyGyro-arCoeff()-Y3+0.127tGravityAcc-mad()-X+0.127tGravityAcc-std()-X+0.127tBodyGyro-arCoeff()-Y1... numeric
@attribute 0.174tBodyAcc-arCoeff()-Y4+0.152tBodyAcc-arCoeff()-Z4-0.146tBodyAccJerk-arCoeff()-Y3+0.143tBodyAcc-arCoeff()-X4-0.14tBodyAcc-arCoeff()-Y3... numeric
@attribute 0.162fBodyGyro-skewness()-Z+0.155fBodyGyro-kurtosis()-Z+0.136fBodyGyro-skewness()-X+0.131fBodyGyro-kurtosis()-X-0.13tGravityAcc-iqr()-X... numeric
@attribute -0.142tBodyGyroJerk-arCoeff()-Y3+0.139fBodyAcc-bandsEnergy()-S-33_40+0.134fBodyAccJerk-bandsEnergy()-S-33_40+0.134tBodyGyro-arCoeff()-Y4+0.132fBodyAcc-bandsEnergy()-AB-25_48... numeric
@attribute -0.163fBodyGyro-bandsEnergy()-AN-49_64-0.16fBodyGyro-bandsEnergy()-AJ-57_64-0.157fBodyGyro-bandsEnergy()-AI-49_56-0.141fBodyGyro-bandsEnergy()-AM-33_48-0.14fBodyGyro-bandsEnergy()-AH-41_48... numeric
@attribute -0.246tBodyAcc-arCoeff()-Y3+0.224tBodyAccJerk-arCoeff()-Y2+0.175tBodyAccJerk-arCoeff()-X2+0.163tBodyAcc-arCoeff()-Y2-0.16tBodyAcc-arCoeff()-Z3... numeric
@attribute -0.177fBodyGyro-bandsEnergy()-H-57_64-0.167fBodyGyro-bandsEnergy()-L-49_64-0.156fBodyGyro-bandsEnergy()-A-1_8-0.154fBodyGyro-bandsEnergy()-G-49_56-0.145fBodyGyro-bandsEnergy()-I-1_16... numeric
@attribute 0.167tBodyGyro-arCoeff()-X3+0.147tBodyAcc-arCoeff()-Z4+0.141tBodyAcc-arCoeff()-Y3+0.136fBodyGyro-meanFreq()-X-0.131tBodyAccJerk-arCoeff()-Z3... numeric
@attribute '-0.249tBodyGyro-mean()-X+0.22 angle(tBodyGyroMean-gravityMean)+0.212tBodyGyro-mean()-Y-0.202tBodyAcc-arCoeff()-Z3-0.189tBodyAccJerk-arCoeff()-Z3...' numeric
@attribute 0.205tBodyAccJerk-arCoeff()-X2-0.187tBodyAcc-arCoeff()-X3-0.165tBodyGyro-mean()-X-0.161tBodyAccJerk-arCoeff()-X3+0.144tBodyAcc-arCoeff()-X2... numeric
@attribute 0.138tBodyAcc-arCoeff()-X3-0.135fBodyAcc-bandsEnergy()-Z-49_64-0.131fBodyAcc-bandsEnergy()-V-57_64+0.129tGravityAccMag-arCoeff()3+0.129tBodyAccMag-arCoeff()3... numeric
@attribute -0.203tBodyGyro-arCoeff()-X3+0.195tBodyAccJerk-arCoeff()-Y3+0.194tBodyAccJerk-arCoeff()-X2-0.183tBodyAcc-arCoeff()-X3-0.175tBodyAcc-arCoeff()-Y4... numeric
@attribute -0.229tBodyAcc-arCoeff()-Z3+0.222tBodyAccJerk-arCoeff()-Z2-0.212tBodyAccJerk-arCoeff()-Z3+0.209tBodyGyro-mean()-X+0.192tBodyAcc-arCoeff()-Z2... numeric
@attribute '0.26 tBodyGyro-arCoeff()-X3-0.226tBodyGyro-arCoeff()-X4-0.196tBodyGyroJerk-arCoeff()-X2+0.188tBodyGyroJerk-arCoeff()-X3+0.174tBodyGyro-mean()-X...' numeric
@attribute activity {STANDING,SITTING,LAYING,WALKING,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS}

@data
16.11988,-2.19282,3.106283,0.484854,6.623044,4.228425,3.021987,-5.23031,0.992033,-3.592751,0.634651,1.084879,-0.769354,-1.552311,2.06689,1.659889,-1.886422,-4.372375,0.922289,-0.652115,STANDING
15.277688,-1.423631,-0.473957,-2.869423,4.206133,2.109937,-0.050003,-2.192401,-0.492407,-0.347332,1.494695,0.23744,0.261168,0.523611,0.70706,-0.857539,0.913828,-0.752681,0.77362,0.178999,STANDING
15.118504,-2.506525,-1.478898,-3.859132,4.138673,1.419685,0.02332,-1.738524,-0.500915,-0.814651,0.889706,-0.049795,-0.077754,-1.767269,0.28704,-0.24938,-0.117612,0.351823,0.403507,0.266795,STANDING
15.33228,-3.948422,-1.590766,-2.734626,3.144093,0.993453,0.450149,-2.192366,-1.033993,-1.58047,0.483727,0.185262,1.489308,0.129507,-0.813345,1.249342,-0.585441,-0.065506,-1.527709,-0.4942,STANDING
15.526155,-4.627028,-1.954299,-3.091379,3.035553,1.180101,-1.156601,-1.087167,-0.678257,0.970449,2.066003,-2.278398,0.938203,1.006608,-0.014376,-0.121458,1.688131,1.360963,-1.790506,0.560693,STANDING
15.340497,-4.750847,-2.216343,-2.756548,2.192133,1.013482,-1.735881,0.49432,-0.689419,1.296802,2.195169,-2.68703,-0.22997,-0.402485,-0.064581,-0.610502,0.603647,2.267957,-1.330415,-0.419847,STANDING
14.882141,-3.188563,-1.748353,-2.713598,3.363889,0.909015,0.088206,-0.430894,-0.141144,-0.068376,0.110314,-0.980118,0.197107,-0.894349,-1.510577,0.582283,0.299684,-0.683998,-0.061673,-0.127155,STANDING
15.210191,-2.116826,-0.26732,-2.054827,3.96186,0.641362,-0.338399,-2.362758,0.699433,-0.789675,0.327313,-0.508944,1.342723,-0.339224,-1.323545,0.798992,1.693965,-1.066866,0.001926,0.248777,STANDING
15.48209,-3.263328,-0.481253,-2.192291,3.646719,1.261139,0.50135,-3.615965,0.010699,-1.177802,0.77877,0.425163,1.316981,-0.686113,0.052718,0.143868,1.200692,-0.679539,0.424865,-0.488308,STANDING
14.080206,-2.57148,-2.821573,-3.448873,1.719222,-1.215568,-0.202152,1.496618,-0.363694,2.583484,0.58504,1.087829,-0.244938,-0.557426,0.931195,-0.407365,-0.090258,-1.471833,1.462684,0.2189,STANDING
14.30738,-3.285288,-2.625628,-3.189759,2.149845,-0.891179,-0.18774,1.284506,-0.152525,2.335822,0.475375,0.353963,-0.70782,-2.248344,-0.537029,-0.342386,1.106793,-1.626947,0.472466,-1.004332,STANDING
16.123968,-7.44654,-1.727507,-1.792681,1.733951,3.107543,0.530977,-1.137884,-0.82934,-1.099819,0.972978,0.366202,-0.322609,-1.200778,-1.456303,0.358653,1.690271,-0.913049,-1.06973,-1.581403,STANDING
16.024824,-7.016133,-1.497572,-2.179556,1.405063,2.934662,1.625625,-1.506534,0.023324,-2.643041,-0.558441,2.111147,-0.542716,-0.768392,-0.142641,0.394058,1.144985,1.442964,1.469092,-0.516167,STANDING
15.968526,-8.317266,-3.287937,-3.401846,1.266795,3.060094,2.617411,-1.100225,-2.357681,-1.470316,0.102006,1.591086,-1.256925,-0.561108,0.021314,-0.794925,0.353125,0.942925,1.636502,-0.104124,STANDING
12.350227,6.317868,2.901766,-0.881297,7.217195,-1.531365,2.035391,-2.577933,2.567063,-0.7197,-1.95316,4.57356,2.046052,-1.626783,1.040943,0.577661,-0.351776,-2.017919,1.606326,-1.684639,STANDING
15.138374,0.682124,2.172284,-1.805777,5.815038,3.700625,-0.919113,-2.180169,3.687999,-1.870717,-0.360347,1.304071,0.476396,-0.569536,-1.133513,-0.255019,-2.097024,-1.393003,-2.17057,-0.667593,STANDING
15.451205,-1.227153,0.513289,-2.580914,4.817619,3.061339,-1.305791,-2.36055,1.353447,-1.868602,0.380853,-0.534281,0.702526,0.625495,-0.122501,-0.181638,-0.494029,0.609194,0.42225,1.022358,STANDING
15.378029,-3.039215,-0.949289,-3.026052,3.153712,1.873145,-0.985955,-1.600729,0.459857,-1.004942,0.379544,-0.561435,0.057305,-0.118992,0.211826,-0.051311,0.512616,0.505131,1.369612,2.131245,STANDING
15.40012,-5.782377,-2.524478,-2.468487,1.605927,2.372896,0.599468,0.224563,-1.724826,-0.486256,0.237506,-0.590838,-0.216057,-0.107721,-2.256433,0.328102,-0.947023,0.540186,-0.919773,0.897335,STANDING
15.946616,-6.225413,-1.394971,-2.107268,1.920021,4.329342,0.397758,-0.908891,-0.04505,-1.883074,-0.296396,-0.14539,-1.144733,0.316594,-2.17717,1.201611,-1.38379,1.076817,-1.411863,-0.519823,STANDING
16.186049,-9.445785,-3.271284,-2.37764,0.72844,4.880463,1.977252,-0.993844,-3.029902,-1.520273,0.284481,0.887646,-0.645578,0.732914,-0.298082,0.294339,0.447009,-0.6119,1.071746,-0.31384,STANDING
