@relation 'activity_recognition_dataset_modifier-weka.filters.unsupervised.attribute.Remove-R1-4,6-7,9-15,17-102,106-188,190-234,236-266,268-272,274-280,282-287,291-366,370-510,512-523,525-549,551-562'

@attribute tBodyAcc-std()-Y numeric
@attribute tBodyAcc-mad()-Y numeric
@attribute tBodyAcc-sma() numeric
@attribute tBodyAccJerk-entropy()-X numeric
@attribute tBodyAccJerk-entropy()-Y numeric
@attribute tBodyAccJerk-entropy()-Z numeric
@attribute tBodyGyroJerk-arCoeff()-X4 numeric
@attribute tBodyAccJerkMag-entropy() numeric
@attribute fBodyAcc-mean()-Y numeric
@attribute fBodyAcc-mad()-Y numeric
@attribute fBodyAcc-sma() numeric
@attribute fBodyAcc-entropy()-X numeric
@attribute fBodyAcc-entropy()-Y numeric
@attribute fBodyAcc-entropy()-Z numeric
@attribute fBodyAccJerk-entropy()-X numeric
@attribute fBodyAccJerk-entropy()-Y numeric
@attribute fBodyAccJerk-entropy()-Z numeric
@attribute fBodyAccMag-entropy() numeric
@attribute fBodyBodyAccJerkMag-entropy() numeric
@attribute fBodyBodyGyroJerkMag-entropy() numeric
@attribute activity {STANDING,SITTING,LAYING,WALKING,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS}

@data
-0.983111,-0.983185,-0.965523,-0.819949,-0.793046,-0.888853,-0.039007,-0.863415,-0.982984,-0.984519,-0.974733,-0.946357,-0.904748,-0.591302,-1,-1,-1,-0.646376,-1,-0.871306,STANDING
-0.9753,-0.974914,-0.98193,-0.875096,-0.655362,-0.767381,0.041522,-0.819928,-0.976852,-0.976924,-0.985812,-1,-0.904748,-0.758409,-1,-1,-1,-0.816674,-1,-1,STANDING
-0.967187,-0.963668,-0.983478,-0.753629,-0.673274,-0.747107,0.08963,-0.794884,-0.972511,-0.971687,-0.985821,-1,-0.815786,-0.813513,-1,-1,-1,-0.907014,-1,-1,STANDING
-0.983403,-0.98275,-0.986093,-0.820804,-0.754968,-0.825279,0.31612,-0.792321,-0.98357,-0.982824,-0.992812,-1,-0.870398,-0.94419,-1,-1,-1,-0.907014,-1,-0.955696,STANDING
-0.980817,-0.979672,-0.992653,-0.850744,-0.746258,-0.79696,0.200258,-0.850026,-0.982301,-0.982353,-0.992423,-1,-0.870398,-0.94419,-1,-1,-1,-0.907014,-1,-1,STANDING
-0.990487,-0.990218,-0.993928,-0.778718,-0.754968,-0.790886,0.236276,-0.871303,-0.986939,-0.989899,-0.995002,-1,-0.94487,-1,-1,-1,-1,-1,-1,-1,STANDING
-0.967186,-0.966097,-0.986837,-0.787925,-0.726266,-0.748931,0.416511,-0.795108,-0.967612,-0.971908,-0.985749,-1,-0.757953,-0.868799,-1,-1,-1,-0.843671,-1,-0.955696,STANDING
-0.966728,-0.966313,-0.976851,-0.807351,-0.67155,-0.777946,0.334974,-0.830863,-0.974291,-0.973339,-0.988994,-1,-0.815786,-0.888552,-1,-1,-1,-0.853531,-1,-0.955696,STANDING
-0.961245,-0.957236,-0.983295,-0.875096,-0.660921,-0.868057,0.460871,-0.85054,-0.968205,-0.970454,-0.988774,-1,-0.849961,-0.888552,-1,-1,-1,-0.907014,-1,-0.955696,STANDING
-0.972758,-0.973663,-0.986541,-0.753959,-0.529135,-0.767208,0.442629,-0.704575,-0.970319,-0.971241,-0.986056,-1,-0.786886,-0.809888,-1,-0.93912,-1,-0.907014,-1,-0.955696,STANDING
-0.973077,-0.973948,-0.987883,-0.753959,-0.576344,-0.661492,0.360868,-0.720537,-0.970608,-0.973767,-0.985001,-1,-0.812205,-0.837884,-1,-1,-1,-0.907014,-1,-0.923452,STANDING
-0.987214,-0.985997,-0.994624,-0.930676,-0.806636,-0.734905,0.146381,-0.87366,-0.984916,-0.988006,-0.994819,-1,-0.904748,-0.903572,-1,-1,-1,-1,-1,-1,STANDING
-0.98468,-0.982937,-0.995116,-0.930676,-0.797235,-0.78379,0.279081,-0.910033,-0.987159,-0.988298,-0.997503,-1,-0.94487,-1,-1,-1,-1,-1,-1,-1,STANDING
-0.990526,-0.990687,-0.996564,-0.875096,-0.826456,-0.790152,0.086072,-0.85092,-0.988808,-0.990601,-0.996372,-1,-0.94487,-0.94419,-1,-1,-1,-1,-1,-1,STANDING
-0.816699,-0.79428,-0.903806,-0.739422,-0.900225,-0.804221,-0.009869,-0.790687,-0.883414,-0.886606,-0.946741,-0.907316,-0.535462,-0.727858,-1,-1,-1,-0.538299,-1,-0.923452,STANDING
-0.974848,-0.973332,-0.984402,-0.850744,-0.982792,-0.798327,0.094586,-0.912225,-0.983171,-0.980692,-0.990407,-1,-0.870398,-0.837884,-1,-1,-1,-0.873482,-1,-1,STANDING
-0.981866,-0.98162,-0.989296,-0.839274,-0.858956,-0.824719,0.386963,-0.989493,-0.987259,-0.984558,-0.993154,-1,-0.904748,-0.848109,-1,-1,-1,-0.946182,-1,-1,STANDING
-0.987516,-0.987954,-0.994907,-0.807351,-0.836903,-0.8582,0.368156,-0.942965,-0.988042,-0.989397,-0.994483,-1,-0.904748,-0.903572,-1,-1,-1,-0.946182,-1,-1,STANDING
-0.993222,-0.992711,-0.998143,-0.828235,-0.870602,-0.817839,0.220312,-0.959299,-0.990944,-0.992926,-0.997395,-1,-1,-1,-1,-1,-1,-1,-1,-1,STANDING
-0.990522,-0.98947,-0.997418,-0.862673,-0.858956,-0.820294,0.152417,-0.996293,-0.990298,-0.992141,-0.997651,-1,-0.94487,-1,-1,-1,-1,-1,-1,-1,STANDING
-0.994311,-0.993604,-0.998101,-0.839274,-0.870602,-0.760353,0.227812,-0.926466,-0.992611,-0.994648,-0.997504,-1,-1,-1,-1,-1,-1,-1,-1,-1,STANDING
-0.989957,-0.989669,-0.997651,-0.850744,-0.767836,-0.793959,0.309262,-0.874907,-0.986978,-0.991853,-0.995882,-1,-0.94487,-1,-1,-1,-1,-1,-1,-1,STANDING
-0.990091,-0.989473,-0.995625,-0.862673,-0.704919,-0.813859,0.282859,-0.834382,-0.986413,-0.989985,-0.995735,-1,-1,-0.94419,-1,-1,-1,-1,-1,-1,STANDING
-0.987308,-0.986771,-0.995126,-0.862673,-0.71308,-0.74896,0.518138,-0.845492,-0.984987,-0.988494,-0.993907,-1,-0.904748,-0.903572,-1,-1,-1,-1,-1,-1,STANDING
-0.988489,-0.988544,-0.994402,-0.839274,-0.732818,-0.730582,0.306581,-0.883246,-0.986724,-0.989885,-0.995912,-1,-0.94487,-0.903572,-1,-1,-1,-1,-1,-1,STANDING
-0.98607,-0.985192,-0.995655,-0.828235,-0.762751,-0.760895,0.002282,-0.87366,-0.985273,-0.988285,-0.994753,-1,-0.94487,-0.94419,-1,-1,-1,-1,-1,-1,STANDING
-0.993669,-0.99362,-0.998242,-0.875096,-0.762751,-0.803011,-0.000259,-0.83462,-0.989946,-0.993379,-0.997036,-1,-1,-0.94419,-1,-1,-1,-1,-1,-1,STANDING
-0.181937,-0.110813,-0.536973,-0.50173,-0.872838,-0.953181,0.682231,-0.575604,-0.432779,-0.415053,-0.658437,-0.411235,-0.216966,-0.288031,-1,-0.93912,-0.942216,-0.103363,-0.940965,-0.795886,SITTING
-0.891605,-0.891373,-0.932712,-0.70518,-0.895253,-0.833,0.503896,-0.870628,-0.931966,-0.929662,-0.968374,-0.892879,-0.67894,-0.888552,-1,-1,-1,-0.695654,-1,-1,SITTING
-0.94035,-0.936927,-0.976273,-0.831832,-0.84773,-0.770403,0.42609,-0.857807,-0.957491,-0.958454,-0.980905,-0.907316,-0.785427,-0.837884,-1,-1,-1,-0.816674,-1,-1,SITTING
-0.749418,-0.776895,-0.806565,-0.408698,-0.279222,-0.191195,-0.285484,-0.147048,-0.765505,-0.750034,-0.723414,-0.004793,-0.151624,-0.017507,-0.384718,-0.361909,-0.454913,-0.062459,-0.413513,-0.181838,SITTING
-0.586537,-0.55535,-0.456424,0.058529,-0.043095,-0.094543,-0.366772,0.135082,-0.706567,-0.660862,-0.717762,-0.06621,-0.063287,-0.181126,-0.274526,-0.309374,-0.427158,-0.063235,-0.392915,-0.187722,SITTING
-0.572746,-0.533811,-0.578948,-0.125904,-0.460453,-0.597827,-0.65846,-0.238659,-0.761663,-0.737807,-0.761344,-0.203219,-0.27015,-0.122182,-0.485126,-0.618236,-0.653536,-0.305378,-0.573394,-0.561142,SITTING
