@relation portrait_noG-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z50.0-no-replacement

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute TP numeric

@data
0.215,-0.042,-0.032,5
0.458,-0.023,0.024,4
0.282,0.081,-0.012,5
0.668,0.308,0.018,5
0.237,0.13,-0.226,5
-0.079,-0.055,0.088,5
0.4,0.586,-0.032,5
0.775,0.702,-0.095,5
0.29,0.809,0.006,5
0.177,0.072,0.009,5
-0.56,0.325,-0.075,4
-0.081,-0.309,0.003,5
-0.105,0.24,0.072,5
0.074,0.068,0.254,5
0.06,-0.126,-0.02,5
0.04,-0.274,-0.018,5
0.2,0.047,0,5
-0.071,0.115,0.159,4
-0.177,-0.125,-0.032,5
-0.563,-0.136,-0.667,5
-0.222,-0.868,0.18,5
0.027,-0.054,-0.009,5
-0.183,-0.887,-0.083,5
0.066,0.033,-0.009,5
-0.024,0.234,-0.075,5
0.944,0.477,-0.146,5
0.161,0.029,0.038,5
0.172,-0.226,0.115,5
-0.167,-0.173,-0.032,5
-0.094,0.182,-0.023,5
0.079,-1.444,3.075,5
-0.656,-0.575,0.692,5
-0.162,0.178,-0.05,5
-0.112,0.232,-0.03,5
-0.152,-0.154,0.049,5
-0.314,0.303,0.025,5
-0.232,0.044,0.023,5
0.027,0.116,0.074,5
-0.136,-0.402,0.034,5
0.117,0.366,0.007,5
-0.003,-0.007,0.01,5
-0.304,-0.414,0.427,5
-0.635,0.298,-0.086,5
-0.399,-0.146,-1.286,6
0.141,0.517,0.024,5
0.594,-0.013,-0.072,5
0.144,-0.137,0.049,5
0.182,-0.457,0.568,5
-0.145,0.077,-0.056,5
0.109,0.162,0.063,4
0.023,-0.127,0.04,5
-0.971,-1.674,1.795,5
-0.324,-0.077,0.004,5
-0.058,-0.052,0.035,5
-0.214,-0.385,0.51,5
0.063,0.384,0.007,5
0.093,-0.051,0.067,6
0.053,-0.177,0.013,5
0.17,-0.06,0.028,5
0.964,-0.772,3.776,5
0.865,-0.375,0.057,4
0.682,0.585,-0.401,6
-0.184,0.334,1.967,4
