@relation portrait_noG-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute TP numeric

@data
-0.048,-0.652,-0.02,5
-0.322,0.044,0.181,5
0.39,-0.091,0.042,5
-0.163,-0.021,0.022,5
0.226,0.578,-0.027,5
0.072,0.076,0.037,5
0.273,-0.882,1.506,5
0.128,-0.1,-0.019,5
0.499,0.196,-0.157,5
-0.706,0.391,-2.312,5
-0.16,0.346,0,5
0.134,-0.162,0.041,4
0.106,-0.295,0.056,5
-0.473,-0.902,0.505,5
0.193,-0.09,0.036,5
0.115,0.386,-0.041,5
-0.265,0.034,0.007,5
0.175,0.164,0.322,5
-0.7,-1.569,1.839,5
0.505,0.22,-0.049,5
0.077,0.129,-0.028,5
0.465,0.43,-1.337,6
0.198,0.251,0.047,5
-0.676,0.007,-0.142,5
0.365,-0.08,0.045,5
0.038,0.061,0.008,5
0.368,-0.72,-0.021,4
-0.896,-0.026,-1.418,5
0.03,0.122,-0.041,5
-0.542,-0.402,0.502,5
0.035,0.029,-0.678,5
0.112,0.207,0.317,5
1.033,-0.762,3.338,5
0.585,-0.645,0.225,5
0.077,0.198,-0.044,5
0.294,0.263,-0.036,5
-0.063,0.065,-0.017,5
0.889,0.331,0.087,5
0.286,0.257,0.033,5
-0.123,0.067,-0.04,5
-0.208,-0.251,0.356,5
-0.144,-0.1,-0.195,6
-0.743,-1.209,-0.416,5
-0.039,-0.194,0.949,5
0.22,0.321,-0.573,5
0.324,0.655,-1.207,4
-0.238,-0.139,0.093,5
-0.07,0.016,0.003,5
0.064,0.244,-0.011,5
0.49,0.3,-0.997,6
0.076,0.43,0.305,5
-0.072,-0.036,-0.003,4
1.115,-0.356,0.653,5
0.492,-0.222,0.001,5
-0.939,0.274,0.011,5
0.487,0.15,0.124,5
0.125,0.152,-0.019,5
-0.064,-0.245,0.01,5
0.012,-0.032,0.021,5
-0.021,-0.447,-0.281,5
-0.048,0.252,-0.075,6
0.069,-0.093,0.028,5
-0.187,-0.478,0.004,5
-0.037,0.014,0.018,5
0.3,0.375,-1.041,5
0.44,0.382,-0.23,5
0.005,0.129,0.006,5
-0.126,-0.192,0.207,5
0.017,-0.019,-0.028,5
-0.737,0.024,-1.192,5
0.392,0.015,0.645,5
0.322,0.129,-0.003,5
-0.278,-0.029,0.02,5
0.388,-0.118,0.035,5
-0.584,-0.139,-0.015,5
-0.225,0.681,-0.033,5
0.064,0.251,0.026,5
-0.137,-0.267,0.209,5
-0.614,0.614,-0.167,5
-0.14,-0.241,0.037,5
0.197,-0.282,0.002,5
-0.015,-0.145,0.003,4
0.426,-0.017,0.025,5
0.498,-0.094,0.027,5
0.567,0.46,-0.365,5
0.046,-0.02,0.063,5
-0.362,-0.335,-1.087,5
0.146,0.252,0.137,5
0.029,0.02,0.04,5
-0.143,-0.309,-0.114,5
0.332,-0.452,0.083,5
-0.053,0.234,0.142,5
0.688,0.546,-0.808,4
0.224,0.049,-0.031,6
